"zip","est","est1","est2","est3","confidence","decrease","MTurk_ID","exp","group","day","id","past_social_iso_1","futur_social_iso_1","time_to_stop_dist","rt","attention","president","outcome","age","effort","new","lb","truth","n_start","state_id","z_est","z_conf"
2908,550000,550000,750000,1200000,50,FALSE,"A3KIDRWRKC7RI5",2,"ta",1,0.0883,70,80,7,191.196,6,"Donald Trump","cCases",45,10,0,393782,505959,1988,"RI",1.94652648489002,1.97706226971134
2908,750000,550000,750000,1200000,30,FALSE,"A3KIDRWRKC7RI5",2,"ta",2,0.0883,70,80,7,191.196,6,"Donald Trump","cCases",45,10,0,393782,590573,1988,"RI",2.6543542975773,1.18623736182681
2908,3e+05,135000,2e+05,3e+05,27,FALSE,"A3KIDRWRKC7RI5",1,"ta",3,10990000,70,72,5,219.493,6,"Donald Trump","cCases",45,10,NA,96968,340775,1988,"RI",2.09299415390777,1.07500746433293
2908,1200000,550000,750000,1200000,20,FALSE,"A3KIDRWRKC7RI5",2,"ta",3,0.0883,70,80,7,191.196,6,"Donald Trump","cCases",45,10,0,393782,677570,1988,"RI",4.24696687612367,0.790824907884538
2920,1200000,5e+05,8e+05,1200000,20,FALSE,"A3F90N8YVKJ4I7",3.2,"ta",3,19,NA,NA,NA,125.674,6,"Donald Trump","cCases",41,10,NA,393782,677570,1988,"RI",4.60785611201809,0.766957285078395
2920,8e+05,5e+05,8e+05,1200000,29,FALSE,"A3F90N8YVKJ4I7",3.2,"ta",2,19,NA,NA,NA,125.674,6,"Donald Trump","cCases",41,10,NA,393782,590573,1988,"RI",3.07190407467872,1.11208806336367
2920,5e+05,5e+05,8e+05,1200000,40,FALSE,"A3F90N8YVKJ4I7",3.2,"ta",1,19,NA,NA,NA,125.674,6,"Donald Trump","cCases",41,10,NA,393782,505959,1988,"RI",1.9199400466742,1.53391457015679
3054,450000,2e+05,325000,450000,10,FALSE,"A2LC2DS8OH7NCA",1,"ta",3,11770000,95,95,6,366.177,6,"Trump","cCases",44,8,NA,96968,340775,1988,"NH",3.13949123086165,0.398150912715901
3054,2e+05,2e+05,325000,450000,75,FALSE,"A2LC2DS8OH7NCA",1,"ta",1,11770000,95,95,6,366.177,6,"Trump","cCases",44,8,NA,96968,165851,1988,"NH",1.39532943593851,2.98613184536926
3054,325000,2e+05,325000,450000,40,FALSE,"A2LC2DS8OH7NCA",1,"ta",2,11770000,95,95,6,366.177,6,"Trump","cCases",44,8,NA,96968,248079,1988,"NH",2.26741033340008,1.5926036508636
