income_down_1,optimism_1,essential_worker,total_time,news,fox,attention,effort,id,age,age_bin,MTurk_ID,group_id,cCases_1_est_g,cCases_2_est_g,cCases_3_est_g,cCases_1_conf_g,cCases_2_conf_g,cCases_3_conf_g,aCases_1_est_g,aCases_2_est_g,aCases_3_est_g,aCases_1_conf_g,aCases_2_conf_g,aCases_3_conf_g,deaths_1_est_g,deaths_2_est_g,deaths_3_est_g,deaths_1_conf_g,deaths_2_conf_g,deaths_3_conf_g,cCases_1_est_ta,cCases_2_est_ta,cCases_3_est_ta,cCases_1_conf_ta,cCases_2_conf_ta,cCases_3_conf_ta,aCases_1_est_ta,aCases_2_est_ta,aCases_3_est_ta,aCases_1_conf_ta,aCases_2_conf_ta,aCases_3_conf_ta,deaths_1_est_ta,deaths_2_est_ta,deaths_3_est_ta,deaths_1_conf_ta,deaths_2_conf_ta,deaths_3_conf_ta,rt_t,rt_g,rt_ta,prob_of_case,prob_of_hosp,prob_of_death,zip,Gender,gen_health,gen_anxiety,president,edu,edu_mom,start_en,prim_lng,num1,num2,num3,num4,num5,num6,num7,num8,num_mu,cons1,cons2,cons3,cons4,cons5,cons6,cons7,conserv_mu,know_someone,corona_news_1,corona_anxious_1,past_social_iso_1,futur_social_iso_1,risk1,risk2,risk3,risk4,risk5,risk6,risk_mu,time_to_stop_dist,max_new_cases,new,trump,Finished,cCases_1_est,cCases_2_est,cCases_3_est,aCases_1_est,aCases_2_est,aCases_3_est,deaths_1_est,deaths_2_est,deaths_3_est,og_n,new_n
8,5,2,353,12,0,6,9,44,45,middle,A11WUBFLUXXF4Y,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400000,410000,450000,41,25,1,200000,220000,250000,7,3,1,13000,13500,15000,17,10,1,NA,NA,NA,15,7,1,27948,2,1,1,donald trump,6,2,8,english,-0.5,1.5,2.5,2.5,0.5,1.5,-1.5,1.5,1,0,-0,-1,0,-0,-1,0,-0.2857142857142857,0,87,9,92,92,-1,-1,-1,-1,-1,-1,-1,5,10000,0,1,1,400000,410000,450000,200000,220000,250000,13000,13500,15000,175,117
66,5,1,1108,3,1,6,9,48,29,young,ANYB5C13HIKXI,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68211,215003,393782,72,84,75,1301,9197,68211,53,74,83,9197,215003,393782,61,81,69,NA,NA,NA,64,76,86,19507,2,1,1,Donald Trump,5,4,5,English,0.5,-0.5,0.5,1.5,0.5,1.5,0.5,0.5,0.625,2,-3,-2,3,-1,3,2,0.5714285714285714,0,70,76,84,65,1,0,-1,0,-1,0,-0.16666666666666666,4,25,0,4,1,68211,215003,393782,1301,9197,68211,9197,215003,393782,175,117
2,4,1,707,12,0,6,7,49,28,young,A2M5CSOXYV3MJJ,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4568,61125,402582,78,82,86,4568,61125,402582,78,84,78,70,1089,13258,57,65,45,NA,NA,NA,9,3,2,94107,2,1,1,Trump,5,5,2,english,1.5,0.5,0.5,1.5,0.5,0.5,-0.5,0.5,0.625,1,-1,-1,1,-1,1,1,0.14285714285714285,0,70,2,7,13,2,1,1,1,-1,2,1,7,100,0,3,1,4568,61125,402582,4568,61125,402582,70,1089,13258,175,117
70,5,1,621,6,0,6,10,50,36,middle,A3CUE1YXJ26Z5F,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1301,9197,68211,68,61,66,1200,9100,65000,53,76,70,38,150,1027,72,83,79,NA,NA,NA,73,79,63,70805,1,1,1,Donald Trump,5,4,5,English,0.5,1.5,1.5,2.5,1.5,-1.5,-1.5,0.5,0.625,1,-1,-2,2,-2,-2,1,-0.42857142857142855,0,85,63,89,77,2,0,-1,1,2,0,0.6666666666666666,5,500,0,4,1,1301,9197,68211,1200,9100,65000,38,150,1027,175,117
75,4,1,354,3,1,6,8,55,30,middle,A15RTRQ5YO6AUS,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600000,1200000,1800000,91,94,96,500000,1000000,2000000,85,92,95,5000000,10000000,20000000,88,95,97,NA,NA,NA,59,69,73,77028,2,1,1,Donald Trump,5,4,1,English,1.5,2.5,1.5,2.5,1.5,2.5,-1.5,1.5,1.5,2,-2,-1,3,-2,3,-2,0.14285714285714285,0,67,76,82,78,-3,-2,-1,-2,3,-2,-1.1666666666666667,7,200000,0,4,1,600000,1200000,1800000,500000,1000000,2000000,5000000,10000000,20000000,175,117
1,5,2,386,12,0,6,9,57,50,middle,A3KF6OE5PDE94V,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420000,500000,725000,41,32,22,500000,900000,1300258,41,33,15,14300,15230,16890,59,43,28,NA,NA,NA,60,9,4,55024,2,1,1,Donald Trump,3,2,2,English,-1.5,-1.5,-0.5,-0.5,0.5,0.5,-1.5,0.5,-0.5,3,3,4,3,2,4,3,3.142857142857143,0,92,7,89,88,1,1,1,0,-0,0,0.5,3,3000000,0,2,1,420000,500000,725000,500000,900000,1300258,14300,15230,16890,175,117
0,5,2,604,10,0,6,8,58,65,old,A3K4JTRUZQD096,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490000,590000,750000,10,7,4,450000,500000,550000,51,50,51,13000,14000,15000,1,1,1,NA,NA,NA,50,19,5,40391,1,1,1,D J Trump,2,2,2,english,-0.5,0.5,0.5,0.5,0.5,1.5,-1.5,2.5,0.5,4,4,4,4,4,4,4,4,0,81,0,19,9,0,0,-2,0,-0,-2,-0.6666666666666666,1,33,0,4,1,490000,590000,750000,450000,500000,550000,13000,14000,15000,175,117
71,4,2,356,10,0,6,9,59,24,young,A2LMREAO2XRLTM,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400000,420000,440000,71,68,65,410000,430000,460000,66,65,62,13500,14500,16000,45,53,51,NA,NA,NA,20,36,36,27282,2,1,1,trump,2,2,2,english,0.5,0.5,0.5,1.5,1.5,-0.5,0.5,-0.5,0.5,1,1,1,-1,-1,-1,0,0,0,51,24,84,83,1,0,0,1,-0,0,0.3333333333333333,7,5000,0,2,1,400000,420000,440000,410000,430000,460000,13500,14500,16000,175,117
30,5,2,507,12,0,6,10,63,51,middle,A2L3X4ZZ0J2DZ2,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475000,600000,750000,50,50,49,750000,1000000,1300000,51,51,51,18000,25000,40000,51,50,50,NA,NA,NA,2,1,0,29909,1,1,1,Donald Trump,2,2,13,English,0.5,0.5,1.5,1.5,1.5,1.5,2.5,1.5,1.375,0,-2,3,0,-0,1,1,0.42857142857142855,0,71,90,97,98,0,-1,0,-1,-0,-1,-0.5,5,50000,0,1,1,475000,600000,750000,750000,1000000,1300000,18000,25000,40000,175,117
42,5,2,1129,12,0,6,10,64,59,middle,A2806GFD1HX002,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512645,867973,1345286,80,77,87,38000,54342,63432,81,85,86,16234,18975,24678,83,87,88,NA,NA,NA,0,0,0,79009,2,1,1,donald trump,2,4,2,english,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,-4,-4,4,4,4,-4,4,0.5714285714285714,0,99,92,100,98,-3,-3,-3,-3,3,-3,-2,6,NA,0,1,1,512645,867973,1345286,38000,54342,63432,16234,18975,24678,175,117
56,3,2,306,6,0,6,10,65,44,middle,A2EED3HLTA96CP,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750000,1400000,1900000,29,18,9,2000000,3500000,6000000,19,11,5,15000,19000,23000,17,9,5,NA,NA,NA,6,9,11,10014,1,1,1,trump,5,5,0,english,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,-4,4,4,-4,-4,-2,-4,-1.4285714285714286,1,94,4,100,100,4,0,1,1,-0,-1,0.8333333333333334,7,50000,0,1,1,750000,1400000,1900000,2000000,3500000,6000000,15000,19000,23000,175,117
0,2,1,450,12,0,6,9,66,31,middle,A2ZDXFFGSPHGBE,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450000,550000,685000,68,58,48,1200000,1850000,2225000,24,28,25,20000,45000,100000,22,19,23,NA,NA,NA,13,10,0,3275,2,1,1,Donald Trump,5,5,2,English,1.5,2.5,2.5,1.5,2.5,2.5,2.5,2.5,2.25,-3,-4,-0,-4,-4,-2,-4,-3,0,92,62,62,65,-1,2,1,1,3,2,1.3333333333333333,7,30000,0,1,1,450000,550000,685000,1200000,1850000,2225000,20000,45000,100000,175,117
8,3,2,386,5,0,6,8,67,38,middle,A84KYYIRZ3K00,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,25000,40000,25,28,29,100000,150000,225000,16,20,17,80000,95000,1300000,19,18,18,NA,NA,NA,20,32,13,37620,2,1,1,donald trump,5,5,38,englsih,-0.5,-0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.125,3,1,1,2,1,1,1,1.4285714285714286,0,78,46,52,56,0,0,1,-1,2,0,0.3333333333333333,5,10000,0,2,1,20000,25000,40000,100000,150000,225000,80000,95000,1300000,175,117
5,4,2,381,12,0,6,10,68,40,middle,A2YACZQ29HF93N,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475000,565000,680000,40,32,25,3000000,4000000,5000000,10,10,10,19000,26000,34000,40,32,25,NA,NA,NA,2,1,1,30019,2,1,1,Donald Trump,6,3,0,English,2.5,2.5,2.5,2.5,1.5,1.5,2.5,2.5,2.25,-3,-3,-1,-1,-2,-2,-3,-2.142857142857143,0,50,30,90,90,0,2,2,0,-0,-1,0.5,5,100000,0,1,1,475000,565000,680000,3000000,4000000,5000000,19000,26000,34000,175,117
84,4,1,457,6,0,6,8,69,42,middle,A32S2LELUY8R6K,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1301,9197,65211,66,83,86,1301,5200,45000,61,75,91,5000,6000,7500,67,54,80,NA,NA,NA,71,55,72,91724,2,1,1,Donald Trump,5,5,1,English,0.5,-0.5,1.5,0.5,1.5,-0.5,-0.5,1.5,0.5,2,-2,-3,2,-3,1,3,0,1,54,65,46,61,1,-1,1,0,1,1,0.5,4,100000,0,3,1,1301,9197,65211,1301,5200,45000,5000,6000,7500,175,117
8,2,2,738,4,0,6,10,71,61,old,AJ8YRFXUNYNIH,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475000,600000,900000,49,50,50,520000,650000,960000,51,50,50,24000,40000,60000,49,48,52,NA,NA,NA,20,18,9,28805,1,1,1,Trump,5,1,1,english,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,-4,-4,4,4,-4,-4,-4,-1.7142857142857142,0,100,82,100,100,-2,-2,-2,-2,-1,-2,-1.8333333333333333,7,6000000,0,1,1,475000,600000,900000,520000,650000,960000,24000,40000,60000,175,117
